id,nlayers,main_train_pts,aux_train_pts,relatedness,s_a,s_b,single_task,train_seed,validation-1/loss
deep-nonlinear-aaac4a2932d64bffb4179e1943b98e69,3,200,200,0.25,0.15848931924611134,0.03981071705534973,False,2,2.235135793685913
deep-nonlinear-fd87229f72d745489fa1c90aebddee70,3,400,400,0.25,0.15848931924611134,0.01,False,3,2.1875386238098145
deep-nonlinear-0ff6e45da8d54598b1043b02c390c489,3,200,200,0.0,0.15848931924611134,0.03981071705534973,False,3,2.28294038772583
deep-nonlinear-c48af46128f0445eb6ce0b547fefa8ac,5,400,400,0.75,0.15848931924611134,10.0,False,0,2.264674663543701
deep-nonlinear-5f32aa94ae3b48fdb8fd4c72831e17de,3,200,200,0.0,0.03981071705534973,10.0,False,1,2.326382637023926
deep-nonlinear-3bc7a84cd555460091af1373a60eed14,5,400,400,0.0,10.0,0.6309573444801929,False,0,2.2936232089996342
deep-nonlinear-ad07cba9279c45258bbf4cebc6cca3c8,1,800,800,0.0,0.01,0.03981071705534973,False,3,2.360316276550293
deep-nonlinear-47ad45a43d7b4873a994407e243cd2ea,3,400,400,0.0,0.01,0.01,False,4,2.314550399780273
deep-nonlinear-bd4574fef450471892590eba0221b000,1,400,400,0.5,0.6309573444801929,0.15848931924611134,False,3,1.9389874935150144
deep-nonlinear-0aed92b0aebc4bc1bf86df06aa8162f6,1,800,800,0.0,0.15848931924611134,0.6309573444801929,False,1,1.8324154615402224
deep-nonlinear-5910cf737acc4c7daefad9d9aac0e65b,1,800,800,0.0,2.51188643150958,0.03981071705534973,False,1,1.4622480869293213
deep-nonlinear-b26f108b207c4f62b3be3396d0047ebe,5,400,400,0.25,0.01,0.01,False,1,2.2981319427490234
deep-nonlinear-21156da26f7b4f5c9caca90302e27744,5,800,800,0.5,0.6309573444801929,0.01,False,1,2.1125345230102544
deep-nonlinear-8f3c2b51cce344cea142bd0ec663d22e,3,400,400,0.0,10.0,2.51188643150958,False,1,2.161427974700928
deep-nonlinear-b47b2337216945708fe56d59b4641cf1,5,800,800,1.0,2.51188643150958,0.6309573444801929,False,4,1.9241495132446291
deep-nonlinear-8c4ebb315c454d6884d38501dd30f476,5,800,800,0.75,0.03981071705534973,2.51188643150958,False,3,2.255113124847412
deep-nonlinear-e5c1662084fa4eadba0a7908c1b88df3,1,400,400,0.0,10.0,0.6309573444801929,False,1,1.7345702648162842
deep-nonlinear-700c4291539c4183bcff8e0ee835db17,3,200,200,0.75,0.6309573444801929,0.6309573444801929,False,1,2.3061723709106445
deep-nonlinear-61bc1c19d9f34fb5990a43ff79cf134c,5,400,400,0.75,2.51188643150958,2.51188643150958,False,1,2.1894068717956543
deep-nonlinear-989f211364db4162945deb54737d1efc,3,200,200,0.0,0.15848931924611134,1.0,True,3,2.239459991455078
deep-nonlinear-59c6d3d82d224030ae77c668cb841790,3,200,200,1.0,2.51188643150958,2.51188643150958,False,3,2.27146053314209
deep-nonlinear-b480a3677dc64df8b5158ab66aa64338,5,800,800,0.75,0.6309573444801929,0.6309573444801929,False,3,1.943769097328186
deep-nonlinear-25fe0810de004873ba4f9651bf2c0f61,1,200,200,1.0,0.01,10.0,False,0,2.4482693672180176
