id,main_train_pts,aux_train_pts,relatedness,s_a,s_b,single_task,train_seed,validation-1/loss
rank-3-19e25516ba9c4472b2a70b3913ac564a,400,400,0.5,10.0,0.03981071705534973,False,1,0.4838411211967468
rank-3-7092a47a61ea4e0e993967254add86ce,100,100,0.75,0.01,2.51188643150958,True,2,1.3248023986816406
rank-3-711f42747eb04827b9c3bba752268b60,100,100,0.25,0.01,10.0,False,2,1.3239362239837646
rank-3-2d2215aea3194f38b3611485eabae589,100,100,0.5,0.01,0.6309573444801929,True,1,1.2910971641540527
rank-3-65c0340325dd47d1a3b7e30e80f3d521,400,400,0.0,0.6309573444801929,10.0,True,3,0.4080098867416382
rank-3-67f7336e8e1b436abd869ca8df9edf41,100,100,1.0,2.51188643150958,0.01,False,3,0.956671178340912
rank-3-5e4aee98d57b42eeb6ee50ca1e6af49a,400,400,0.0,2.51188643150958,0.01,False,4,0.4726891815662384
rank-3-a88d56d373744fa085cbcabe8142c166,100,100,1.0,0.01,0.6309573444801929,False,4,1.3274405002593994
rank-3-4e8a4fe9b1364eaeb67ddb7f30b495f4,100,100,1.0,0.15848931924611134,0.03981071705534973,False,1,1.0193419456481934
rank-3-c91d96312477419cac850cd3ef1d139e,100,100,0.0,0.03981071705534973,0.01,True,1,1.1806292533874512
rank-3-535b445edbbb4b5db3d21e1b6853a04c,100,100,0.75,2.51188643150958,0.15848931924611134,True,3,0.967782735824585
rank-3-9a6cc5c9f24f4df99727db15288eba53,400,400,0.75,0.03981071705534973,2.51188643150958,False,4,1.0365271568298342
rank-3-fb5e9604575b4931acca92fb2969bcb8,100,100,0.75,0.03981071705534973,2.51188643150958,False,4,1.2098699808120728
rank-3-1cd2ea8acf674feeb6cd34977a0f5624,400,400,0.75,0.15848931924611134,0.01,False,2,0.7064735889434814
rank-3-5e2a26abc0bf4cc1abf05eed23802733,400,400,0.0,0.03981071705534973,0.6309573444801929,False,4,1.0597519874572754
rank-3-82c4d06767d64a7eb4621cbf9ec8b977,400,400,0.25,0.01,0.01,True,2,1.1668424606323242
rank-3-7e086b35d17d43869542c4841ace72c9,400,400,0.75,2.51188643150958,0.03981071705534973,True,2,0.4922846853733063
rank-3-eb37515d8a46471b9adda75af8fb0c11,400,400,0.0,0.6309573444801929,0.03981071705534973,False,2,0.5807190537452698
rank-3-ade3425887b849f4a564feaf60d532c7,100,100,0.75,0.15848931924611134,0.03981071705534973,False,2,0.967599868774414
rank-3-6d85b92ce20b4952b4e87ae74ea62c68,400,400,0.5,0.15848931924611134,10.0,True,2,0.701237678527832
rank-3-e8a1d84688614dfab75b0d21c9ddfe7d,400,400,0.75,0.03981071705534973,0.15848931924611134,True,4,1.0607151985168457
rank-3-dc8e458ab2ea4cf79e73d0c39bd3124b,100,100,0.75,0.15848931924611134,2.51188643150958,True,0,1.0506173372268677
rank-3-360a03fe7d1c4a648c5ea158cb8a0110,400,400,0.5,0.03981071705534973,0.15848931924611134,False,3,1.0380073785781858
rank-3-d0c3cda01a0845dca009e1845449132e,400,400,0.25,0.01,10.0,True,0,1.199491024017334
rank-3-d3bd1a18d92f423eb686daa7a43ecf17,400,400,1.0,10.0,0.6309573444801929,True,3,0.4381201565265656
rank-3-52c02f7479a64f9aa5d8f45c7e140bdc,400,400,0.25,0.03981071705534973,2.51188643150958,True,4,1.0607153177261353
rank-3-9c40ab4a970d4dee9f3e476bf07b17aa,100,100,0.0,0.6309573444801929,0.6309573444801929,False,4,0.9614226818084716
rank-3-c4ef7484ff5c41e198c4499d562b5c8b,400,400,0.0,0.01,0.03981071705534973,False,4,1.1701122522354126
rank-3-4cc043d99e294a73bd768fe107a771b0,100,100,0.75,0.03981071705534973,0.01,False,1,1.1763160228729248
rank-3-ca98a3f16f374af98887bc7aef6de60a,100,100,0.0,10.0,0.15848931924611134,True,0,0.9797978401184082
rank-3-2a82fca1dd634db283e983bf6b0f507d,100,100,0.75,0.03981071705534973,10.0,True,4,1.217175006866455
rank-3-e7263f5401464fcbb6ebc8893c4a8770,100,100,0.0,0.01,0.01,True,0,1.318274974822998
rank-3-a881822697a84866b6cc72b6a9518ab0,400,400,0.75,10.0,2.51188643150958,False,2,0.4800679087638855
rank-3-bfdec2fbda534a5b83b6c48994a2ade5,100,100,0.25,2.51188643150958,0.6309573444801929,False,3,0.9570284485816956
rank-3-9ca2305fe31d4fb88619d9647be193a4,400,400,0.25,10.0,0.01,True,3,0.4381201565265656
rank-3-fdafc8684f1040c5ac704a561c719b25,100,100,0.75,10.0,2.51188643150958,True,0,0.9797978401184082
rank-3-d24ed36d838f482f81ba3086cac0f4cf,400,400,0.75,0.01,2.51188643150958,False,4,1.1504905223846436
rank-3-8bbc0a33ec054c7ba6c6cc874dc466a5,400,400,1.0,0.15848931924611134,0.03981071705534973,False,4,0.6722365617752075
rank-3-0c82e62519804f3fbfa32d61063cc25f,400,400,0.5,2.51188643150958,0.6309573444801929,False,2,0.4953252077102661
rank-3-898a8ec10e5e4f5995ca16e2c9ed1e55,100,100,0.0,2.51188643150958,0.03981071705534973,True,3,0.967782735824585
rank-3-0a34a604c0864d029c01e00cab7f291d,400,400,0.0,2.51188643150958,0.15848931924611134,False,3,0.447764128446579
rank-3-e9cdc8a30c944df0bd77d52985b5853e,100,100,0.25,0.6309573444801929,0.6309573444801929,True,1,0.978434920310974
rank-3-c0e8ccebeb4c416da17b2b75f2a51105,400,400,0.5,10.0,0.15848931924611134,True,3,0.4381201565265656
rank-3-2b4c6d80ae174a70a3afebbbdcf4da5f,100,100,0.5,0.6309573444801929,0.15848931924611134,True,1,0.978434920310974
rank-3-2b39a93d70794147880a442f7e9e60cd,400,400,0.75,0.6309573444801929,2.51188643150958,False,4,0.4864706993103027
rank-3-23cbb716cf5d4467934a4463b61a4533,100,100,0.0,10.0,0.15848931924611134,False,2,0.8602262735366821
rank-3-c6756d368fa146869d4298f9ef8e537d,400,400,0.0,0.03981071705534973,0.15848931924611134,False,0,1.1148422956466677
